"","Carpinteria.interaction.type","Carpinteria.con.taxonomy","Carpinteria.con.taxonomy.level","Carpinteria.con.common","Carpinteria.con.lifestage","Carpinteria.res.taxonomy","Carpinteria.res.taxonomy.level","Carpinteria.res.common","Carpinteria.res.lifestage","Carpinteria.con_taxon_id","Carpinteria.res_taxon_id"
"659","parasitic","Aedes taeniorhynchus","species","Black Salt Marsh Mosquito","adults","Sterna caspia","species","Caspian Tern","adults",6,108
"660","parasitic","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","metacercaria","Tagelus subteres","species","Lesser Tagelus","adults",2,112
"661","parasitic","Parorchis acanthus","species","Parorchis acanthus","adults","Nycticorax nycticorax","species","Black-crowned Night Heron","adults",71,80
"662","parasitic","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","adults","Catoptrophorus semipalmatus","species","Willet","adults",2,28
"663","parasitic","Austrobilharzia sp.","genus","Austrobilharzia sp.","adults","Calidris mauri","species","Western Sandpiper","adults",16,21
"664","parasitic","Parorchis acanthus","species","Parorchis acanthus","adults","Melanitta perspicillata","species","Surf Scoter","adults",71,71
"665","parasitic","Aedes taeniorhynchus","species","Black Salt Marsh Mosquito","adults","Larus californicus","species","California Gull","adults",6,59
"666","parasitic","Culex tarsalis","species","Western Encephalitis Mosquito","adults","Fulica americana","species","American Coot","adults",33,48
"667","parasitic","Aedes taeniorhynchus","species","Black Salt Marsh Mosquito","adults","Numenius americanus","species","Long-billed Curlew","adults",6,77
"668","parasitic","Culex tarsalis","species","Western Encephalitis Mosquito","adults","Sterna caspia","species","Caspian Tern","adults",33,108
"669","parasitic","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria","Neotrypaea californiensis","species","Calfornia Ghost Shrimp","adults",31,76
"670","parasitic","Parorchis acanthus","species","Parorchis acanthus","metacercaria","Neotrypaea californiensis","species","Calfornia Ghost Shrimp","adults",71,76
"671","parasitic","Himasthla rhigedana","species","Himasthla rhigedana","adults","Larus californicus","species","California Gull","adults",46,59
"672","parasitic","Aedes taeniorhynchus","species","Black Salt Marsh Mosquito","adults","Anas americana","species","American Wigeon","adults",6,8
"673","parasitic","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","adults","Recurvirostra americana","species","American Avocet","adults",2,101
"674","parasitic","Himasthla rhigedana","species","Himasthla rhigedana","adults","Numenius americanus","species","Long-billed Curlew","adults",46,77
"675","parasitic","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","adults","Limnodromus scilopaceus","species","Long-billed Dowitcher","adults",31,64
"676","parasitic","Gyrodactylus sp.","genus","Gyrodactylus sp.","adults","Hypsopsetta guttulata","species","Diamond Turbot","adults",43,56
"677","parasitic","Culex tarsalis","species","Western Encephalitis Mosquito","adults","Larus californicus","species","California Gull","adults",33,59
"678","parasitic","Culex tarsalis","species","Western Encephalitis Mosquito","adults","Numenius americanus","species","Long-billed Curlew","adults",33,77
"679","parasitic","Aedes taeniorhynchus","species","Black Salt Marsh Mosquito","adults","Nycticorax nycticorax","species","Black-crowned Night Heron","adults",6,80
"680","parasitic","Aedes taeniorhynchus","species","Black Salt Marsh Mosquito","adults","Egretta alba","species","Great Egret","adults",6,42
"681","parasitic","Gyrodactylus sp.","genus","Gyrodactylus sp.","adults","Acanthogobius flavimanus","species","Yellow-fin Goby","adults",43,1
"682","parasitic","Culex tarsalis","species","Western Encephalitis Mosquito","adults","Anas americana","species","American Wigeon","adults",33,8
"683","parasitic","Himasthla rhigedana","species","Himasthla rhigedana","adults","Nycticorax nycticorax","species","Black-crowned Night Heron","adults",46,80
"684","parasitic","Euhaplorchis californiensis","species","Euhaplorchis californiensis","metacercaria","Fundulus parvipinnis","species","California Killifish","adults",38,49
"685","parasitic","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","adults","Limosa fedoa","species","Marbled Godwit","adults",2,66
"686","parasitic","Gyrodactylus sp.","genus","Gyrodactylus sp.","adults","Leptocottus armatus","species","Staghorn Sculpin","adults",43,63
"687","parasitic","Aedes taeniorhynchus","species","Black Salt Marsh Mosquito","adults","Melanitta perspicillata","species","Surf Scoter","adults",6,71
"688","parasitic","Himasthla rhigedana","species","Himasthla rhigedana","adults","Melanitta perspicillata","species","Surf Scoter","adults",46,71
"689","parasitic","Culex tarsalis","species","Western Encephalitis Mosquito","adults","Nycticorax nycticorax","species","Black-crowned Night Heron","adults",33,80
"690","parasitic","Culex tarsalis","species","Western Encephalitis Mosquito","adults","Egretta alba","species","Great Egret","adults",33,42
"691","parasitic","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","adults","Bucephala albeola","species","Bufflehead","adults",2,18
"692","parasitic","Aedes taeniorhynchus","species","Black Salt Marsh Mosquito","adults","Mergus serrator","species","Red-breasted Merganser","adults",6,72
"693","parasitic","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria","Tagelus affinis","species","Fat Jackknife Clam","adults",31,110
"694","parasitic","Parorchis acanthus","species","Parorchis acanthus","metacercaria","Tagelus affinis","species","Fat Jackknife Clam","adults",71,110
"695","parasitic","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria","Macoma nasuta","species","Bent-nosed Clam","adults",31,67
"696","parasitic","Parorchis acanthus","species","Parorchis acanthus","metacercaria","Macoma nasuta","species","Bent-nosed Clam","adults",71,67
"697","parasitic","Catatropis johnstoni","species","Catatropis johnstoni","adults","Calidris alpina","species","Dunlin","adults",25,20
"698","parasitic","Culex tarsalis","species","Western Encephalitis Mosquito","adults","Melanitta perspicillata","species","Surf Scoter","adults",33,71
"699","parasitic","Gyrodactylus sp.","genus","Gyrodactylus sp.","adults","Paralichthys californicus","species","California Halibut","adults",43,84
"700","parasitic","Aedes taeniorhynchus","species","Black Salt Marsh Mosquito","adults","Anas platyrhynchos","species","Mallard","adults",6,12
"701","parasitic","Culex tarsalis","species","Western Encephalitis Mosquito","adults","Mergus serrator","species","Red-breasted Merganser","adults",33,72
"702","parasitic","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","adults","Larus canus","species","Mew Gull","adults",2,60
"703","parasitic","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","metacercaria","Protothaca staminea","species","Pacific Littleneck Clam","adults",2,99
"704","parasitic","Pygidiopsoides spindalis","species","Pygidiopsoides spindalis","adults","Calidris minutilla","species","Least Sandpiper","adults",84,22
"705","parasitic","Aedes taeniorhynchus","species","Black Salt Marsh Mosquito","adults","Aechmophorus occidentalis","species","Western Grebe","adults",6,6
"706","parasitic","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria","Pachygrapsus crassipes","species","Striped Shore Crab","adults",31,83
"707","parasitic","Parorchis acanthus","species","Parorchis acanthus","metacercaria","Pachygrapsus crassipes","species","Striped Shore Crab","adults",71,83
"708","parasitic","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","adults","Larus delawarensis","species","Ring-billed Gull","adults",2,61
"709","parasitic","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","metacercaria","Tagelus californianus","species","California Jackknife Clam","adults",2,111
"710","parasitic","Culex tarsalis","species","Western Encephalitis Mosquito","adults","Anas platyrhynchos","species","Mallard","adults",33,12
"711","parasitic","Aedes taeniorhynchus","species","Black Salt Marsh Mosquito","adults","Catjartes aura","species","Turkey Vulture","adults",6,27
"712","parasitic","Austrobilharzia sp.","genus","Austrobilharzia sp.","adults","Calidris alpina","species","Dunlin","adults",16,20
"713","parasitic","Culex tarsalis","species","Western Encephalitis Mosquito","adults","Aechmophorus occidentalis","species","Western Grebe","adults",33,6
"714","parasitic","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria","Tagelus subteres","species","Lesser Tagelus","adults",31,112
"715","parasitic","Parorchis acanthus","species","Parorchis acanthus","metacercaria","Tagelus subteres","species","Lesser Tagelus","adults",71,112
"716","parasitic","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","adults","Larus philadelphia","species","Bonaparte's Gull","adults",31,62
"717","parasitic","Culex tarsalis","species","Western Encephalitis Mosquito","adults","Catjartes aura","species","Turkey Vulture","adults",33,27
"718","parasitic","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","adults","Fulica americana","species","American Coot","adults",2,48
"719","parasitic","Renicola buchanani","species","Renicola buchanani","adults","Calidris minutilla","species","Least Sandpiper","adults",86,22
"720","parasitic","Renicola cerithidicola","species","Renicola cerithidicola","adults","Calidris minutilla","species","Least Sandpiper","adults",87,22
"721","parasitic","Renicola buchanani","species","Renicola buchanani","metacercaria","Atherinops affinis","species","Topsmelt","adults",86,16
"722","parasitic","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","adults","Pluvialis squatarola","species","Black-bellied Plover","adults",31,92
"723","parasitic","Stictodora hancocki","species","Stictodora hancocki","adults","Calidris minutilla","species","Least Sandpiper","adults",92,22
"724","parasitic","Maritrema sp.","genus","Maritrema sp.","adults","Calidris minutilla","species","Least Sandpiper","adults",58,22
"725","parasitic","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","adults","Larus californicus","species","California Gull","adults",2,59
"726","parasitic","Stictodora hancocki","species","Stictodora hancocki","metacercaria","Atherinops affinis","species","Topsmelt","adults",92,16
"727","parasitic","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","adults","Numenius americanus","species","Long-billed Curlew","adults",2,77
"728","parasitic","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","adults","Catoptrophorus semipalmatus","species","Willet","adults",31,28
"729","parasitic","Aedes taeniorhynchus","species","Black Salt Marsh Mosquito","adults","Phalacrocorax penicillatus","species","Double-crested Cormorant","adults",6,88
"730","parasitic","Phocitremoides ovale","species","Phocitremoides ovale","metacercaria","Atherinops affinis","species","Topsmelt","adults",74,16
"731","parasitic","Aedes taeniorhynchus","species","Black Salt Marsh Mosquito","adults","Ardea herodius","species","Great Blue Heron","adults",6,14
"732","parasitic","Acanthoparyphium spinulosum","species","Acanthoparyphium spinulosum","adults","Melanitta perspicillata","species","Surf Scoter","adults",2,71
"733","parasitic","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","metacercaria","Gillichthys mirabilis","species","Long-jawed Mudsucker","adults",61,50
"734","parasitic","Renicola buchanani","species","Renicola buchanani","metacercaria","Cymatogaster aggregata","species","Shiner Surfperch","adults",86,40
"735","parasitic","Catatropis johnstoni","species","Catatropis johnstoni","metacercaria","Cerithidea californica","species","California Horn Snail","adults",25,29
"736","parasitic","Culex tarsalis","species","Western Encephalitis Mosquito","adults","Phalacrocorax penicillatus","species","Double-crested Cormorant","adults",33,88
"737","parasitic","Stictodora hancocki","species","Stictodora hancocki","metacercaria","Cymatogaster aggregata","species","Shiner Surfperch","adults",92,40
"738","parasitic","Culex tarsalis","species","Western Encephalitis Mosquito","adults","Ardea herodius","species","Great Blue Heron","adults",33,14
"739","parasitic","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","adults","Limosa fedoa","species","Marbled Godwit","adults",31,66
"740","parasitic","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","adults","Egretta thula","species","Snowy Egret","adults",31,44
"741","parasitic","Austrobilharzia sp.","genus","Austrobilharzia sp.","adults","Limnodromus scilopaceus","species","Long-billed Dowitcher","adults",16,64
"742","parasitic","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","metacercaria","Hypsopsetta guttulata","species","Diamond Turbot","adults",61,56
"743","parasitic","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","adults","Bucephala albeola","species","Bufflehead","adults",31,18
"744","parasitic","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","adults","Numenius phaeopus","species","Whimbrel","adults",31,78
"745","parasitic","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","metacercaria","Tagelus californianus","species","California Jackknife Clam","adults",31,111
"746","parasitic","Parorchis acanthus","species","Parorchis acanthus","metacercaria","Tagelus californianus","species","California Jackknife Clam","adults",71,111
"747","parasitic","Pygidiopsoides spindalis","species","Pygidiopsoides spindalis","adults","Calidris alpina","species","Dunlin","adults",84,20
"748","parasitic","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","adults","Podilymbus podiceps","species","Pied-billed Grebe","adults",31,93
"749","parasitic","Phocitremoides ovale","species","Phocitremoides ovale","metacercaria","Cymatogaster aggregata","species","Shiner Surfperch","adults",74,40
"750","parasitic","Catatropis johnstoni","species","Catatropis johnstoni","adults","Tringa melanoleuca","species","Greater Yellowlegs","adults",25,116
"751","parasitic","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","metacercaria","Leptocottus armatus","species","Staghorn Sculpin","adults",61,63
"752","parasitic","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","adults","Larus canus","species","Mew Gull","adults",31,60
"753","parasitic","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","adults","Larus delawarensis","species","Ring-billed Gull","adults",31,61
"754","parasitic","Renicola buchanani","species","Renicola buchanani","adults","Calidris alpina","species","Dunlin","adults",86,20
"755","parasitic","Renicola cerithidicola","species","Renicola cerithidicola","adults","Calidris alpina","species","Dunlin","adults",87,20
"756","parasitic","Stictodora hancocki","species","Stictodora hancocki","adults","Calidris alpina","species","Dunlin","adults",92,20
"757","parasitic","Maritrema sp.","genus","Maritrema sp.","adults","Calidris alpina","species","Dunlin","adults",58,20
"758","parasitic","Catatropis johnstoni","species","Catatropis johnstoni","adults","Pluvialis squatarola","species","Black-bellied Plover","adults",25,92
"759","parasitic","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","adults","Limnodromus scilopaceus","species","Long-billed Dowitcher","adults",61,64
"760","parasitic","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","adults","Fulica americana","species","American Coot","adults",31,48
"761","parasitic","Catatropis johnstoni","species","Catatropis johnstoni","adults","Catoptrophorus semipalmatus","species","Willet","adults",25,28
"762","parasitic","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","adults","Larus californicus","species","California Gull","adults",31,59
"763","parasitic","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","adults","Numenius americanus","species","Long-billed Curlew","adults",31,77
"764","parasitic","Aedes taeniorhynchus","species","Black Salt Marsh Mosquito","adults","Procyon locator","species","Raccoon","adults",6,98
"765","parasitic","Catatropis johnstoni","species","Catatropis johnstoni","adults","Recurvirostra americana","species","American Avocet","adults",25,101
"766","parasitic","Pygidiopsoides spindalis","species","Pygidiopsoides spindalis","metacercaria","Clevelandia ios","species","Arrow Goby","adults",84,33
"767","parasitic","Pygidiopsoides spindalis","species","Pygidiopsoides spindalis","adults","Limnodromus scilopaceus","species","Long-billed Dowitcher","adults",84,64
"768","parasitic","Austrobilharzia sp.","genus","Austrobilharzia sp.","adults","Pluvialis squatarola","species","Black-bellied Plover","adults",16,92
"769","parasitic","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","adults","Nycticorax nycticorax","species","Black-crowned Night Heron","adults",31,80
"770","parasitic","Culex tarsalis","species","Western Encephalitis Mosquito","adults","Procyon locator","species","Raccoon","adults",33,98
"771","parasitic","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","adults","Ceryle alcyon","species","Belted Kingfisher","adults",61,30
"772","parasitic","Cloacitrema michiganiensis","species","Cloacitrema michiganiensis","adults","Melanitta perspicillata","species","Surf Scoter","adults",31,71
"773","parasitic","Phocitremoides ovale","species","Phocitremoides ovale","adults","Calidris minutilla","species","Least Sandpiper","adults",74,22
"774","parasitic","Austrobilharzia sp.","genus","Austrobilharzia sp.","adults","Catoptrophorus semipalmatus","species","Willet","adults",16,28
"775","parasitic","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","adults","Tringa melanoleuca","species","Greater Yellowlegs","adults",61,116
"776","parasitic","Renicola buchanani","species","Renicola buchanani","adults","Limnodromus scilopaceus","species","Long-billed Dowitcher","adults",86,64
"777","parasitic","Renicola cerithidicola","species","Renicola cerithidicola","adults","Limnodromus scilopaceus","species","Long-billed Dowitcher","adults",87,64
"778","parasitic","Austrobilharzia sp.","genus","Austrobilharzia sp.","adults","Recurvirostra americana","species","American Avocet","adults",16,101
"779","parasitic","Stictodora hancocki","species","Stictodora hancocki","adults","Limnodromus scilopaceus","species","Long-billed Dowitcher","adults",92,64
"780","parasitic","Pygidiopsoides spindalis","species","Pygidiopsoides spindalis","adults","Ceryle alcyon","species","Belted Kingfisher","adults",84,30
"781","parasitic","Maritrema sp.","genus","Maritrema sp.","adults","Limnodromus scilopaceus","species","Long-billed Dowitcher","adults",58,64
"782","parasitic","Parvatrema sp.","genus","Parvatrema sp.","metacercaria","Tagelus affinis","species","Fat Jackknife Clam","adults",72,110
"783","parasitic","Pygidiopsoides spindalis","species","Pygidiopsoides spindalis","metacercaria","Fundulus parvipinnis","species","California Killifish","adults",84,49
"784","parasitic","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","adults","Larus philadelphia","species","Bonaparte's Gull","adults",61,62
"785","parasitic","Pygidiopsoides spindalis","species","Pygidiopsoides spindalis","adults","Tringa melanoleuca","species","Greater Yellowlegs","adults",84,116
"786","parasitic","Euhaplorchis californiensis","species","Euhaplorchis californiensis","adults","Calidris minutilla","species","Least Sandpiper","adults",38,22
"787","parasitic","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","adults","Pluvialis squatarola","species","Black-bellied Plover","adults",61,92
"788","parasitic","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","adults","Butorides virescens","species","Green Heron","adults",61,19
"789","parasitic","Renicola buchanani","species","Renicola buchanani","adults","Ceryle alcyon","species","Belted Kingfisher","adults",86,30
"790","parasitic","Renicola cerithidicola","species","Renicola cerithidicola","adults","Ceryle alcyon","species","Belted Kingfisher","adults",87,30
"791","parasitic","Stictodora hancocki","species","Stictodora hancocki","adults","Ceryle alcyon","species","Belted Kingfisher","adults",92,30
"792","parasitic","Renicola buchanani","species","Renicola buchanani","metacercaria","Gillichthys mirabilis","species","Long-jawed Mudsucker","adults",86,50
"793","parasitic","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","adults","Catoptrophorus semipalmatus","species","Willet","adults",61,28
"794","parasitic","Pygidiopsoides spindalis","species","Pygidiopsoides spindalis","adults","Larus philadelphia","species","Bonaparte's Gull","adults",84,62
"795","parasitic","Austrobilharzia sp.","genus","Austrobilharzia sp.","adults","Larus canus","species","Mew Gull","adults",16,60
"796","parasitic","Pygidiopsoides spindalis","species","Pygidiopsoides spindalis","adults","Pluvialis squatarola","species","Black-bellied Plover","adults",84,92
"797","parasitic","Stictodora hancocki","species","Stictodora hancocki","adults","Tringa melanoleuca","species","Greater Yellowlegs","adults",92,116
"798","parasitic","Stictodora hancocki","species","Stictodora hancocki","metacercaria","Gillichthys mirabilis","species","Long-jawed Mudsucker","adults",92,50
"799","parasitic","Parvatrema sp.","genus","Parvatrema sp.","metacercaria","Tagelus subteres","species","Lesser Tagelus","adults",72,112
"800","parasitic","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","adults","Recurvirostra americana","species","American Avocet","adults",61,101
"801","parasitic","Pygidiopsoides spindalis","species","Pygidiopsoides spindalis","adults","Butorides virescens","species","Green Heron","adults",84,19
"802","parasitic","Austrobilharzia sp.","genus","Austrobilharzia sp.","adults","Larus delawarensis","species","Ring-billed Gull","adults",16,61
"803","parasitic","Pygidiopsoides spindalis","species","Pygidiopsoides spindalis","adults","Catoptrophorus semipalmatus","species","Willet","adults",84,28
"804","parasitic","Phocitremoides ovale","species","Phocitremoides ovale","metacercaria","Gillichthys mirabilis","species","Long-jawed Mudsucker","adults",74,50
"805","parasitic","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","adults","Limosa fedoa","species","Marbled Godwit","adults",61,66
"806","parasitic","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","adults","Egretta thula","species","Snowy Egret","adults",61,44
"807","parasitic","Stictodora hancocki","species","Stictodora hancocki","adults","Larus philadelphia","species","Bonaparte's Gull","adults",92,62
"808","parasitic","Stictodora hancocki","species","Stictodora hancocki","metacercaria","Hypsopsetta guttulata","species","Diamond Turbot","adults",92,56
"809","parasitic","Phocitremoides ovale","species","Phocitremoides ovale","adults","Calidris alpina","species","Dunlin","adults",74,20
"810","parasitic","Pygidiopsoides spindalis","species","Pygidiopsoides spindalis","adults","Recurvirostra americana","species","American Avocet","adults",84,101
"811","parasitic","Renicola buchanani","species","Renicola buchanani","adults","Butorides virescens","species","Green Heron","adults",86,19
"812","parasitic","Renicola cerithidicola","species","Renicola cerithidicola","adults","Butorides virescens","species","Green Heron","adults",87,19
"813","parasitic","Stictodora hancocki","species","Stictodora hancocki","adults","Pluvialis squatarola","species","Black-bellied Plover","adults",92,92
"814","parasitic","Catatropis johnstoni","species","Catatropis johnstoni","adults","Melanitta perspicillata","species","Surf Scoter","adults",25,71
"815","parasitic","Stictodora hancocki","species","Stictodora hancocki","metacercaria","Acanthogobius flavimanus","species","Yellow-fin Goby","adults",92,1
"816","parasitic","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","adults","Podilymbus podiceps","species","Pied-billed Grebe","adults",61,93
"817","parasitic","Maritrema sp.","genus","Maritrema sp.","adults","Pluvialis squatarola","species","Black-bellied Plover","adults",58,92
"818","parasitic","Stictodora hancocki","species","Stictodora hancocki","adults","Butorides virescens","species","Green Heron","adults",92,19
"819","parasitic","Austrobilharzia sp.","genus","Austrobilharzia sp.","adults","Larus californicus","species","California Gull","adults",16,59
"820","parasitic","Phocitremoides ovale","species","Phocitremoides ovale","metacercaria","Hypsopsetta guttulata","species","Diamond Turbot","adults",74,56
"821","parasitic","Renicola cerithidicola","species","Renicola cerithidicola","metacercaria","Gillichthys mirabilis","species","Long-jawed Mudsucker","adults",87,50
"822","parasitic","Pygidiopsoides spindalis","species","Pygidiopsoides spindalis","adults","Limosa fedoa","species","Marbled Godwit","adults",84,66
"823","parasitic","Pygidiopsoides spindalis","species","Pygidiopsoides spindalis","adults","Egretta thula","species","Snowy Egret","adults",84,44
"824","parasitic","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","adults","Larus canus","species","Mew Gull","adults",61,60
"825","parasitic","Stictodora hancocki","species","Stictodora hancocki","adults","Catoptrophorus semipalmatus","species","Willet","adults",92,28
"826","parasitic","Maritrema sp.","genus","Maritrema sp.","adults","Catoptrophorus semipalmatus","species","Willet","adults",58,28
"827","parasitic","Renicola buchanani","species","Renicola buchanani","adults","Recurvirostra americana","species","American Avocet","adults",86,101
"828","parasitic","Renicola cerithidicola","species","Renicola cerithidicola","adults","Recurvirostra americana","species","American Avocet","adults",87,101
"829","parasitic","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","adults","Larus delawarensis","species","Ring-billed Gull","adults",61,61
"830","parasitic","Euhaplorchis californiensis","species","Euhaplorchis californiensis","adults","Calidris alpina","species","Dunlin","adults",38,20
"831","parasitic","Pygidiopsoides spindalis","species","Pygidiopsoides spindalis","adults","Podilymbus podiceps","species","Pied-billed Grebe","adults",84,93
"832","parasitic","Stictodora hancocki","species","Stictodora hancocki","adults","Recurvirostra americana","species","American Avocet","adults",92,101
"833","parasitic","Stictodora hancocki","species","Stictodora hancocki","metacercaria","Paralichthys californicus","species","California Halibut","adults",92,84
"834","parasitic","Parvatrema sp.","genus","Parvatrema sp.","metacercaria","Tagelus californianus","species","California Jackknife Clam","adults",72,111
"835","parasitic","Pygidiopsoides spindalis","species","Pygidiopsoides spindalis","adults","Larus canus","species","Mew Gull","adults",84,60
"836","parasitic","Maritrema sp.","genus","Maritrema sp.","adults","Anas crecca","species","Green-winged Teal","adults",58,9
"837","parasitic","Phocitremoides ovale","species","Phocitremoides ovale","metacercaria","Paralichthys californicus","species","California Halibut","adults",74,84
"838","parasitic","Stictodora hancocki","species","Stictodora hancocki","adults","Limosa fedoa","species","Marbled Godwit","adults",92,66
"839","parasitic","Stictodora hancocki","species","Stictodora hancocki","adults","Egretta thula","species","Snowy Egret","adults",92,44
"840","parasitic","Pygidiopsoides spindalis","species","Pygidiopsoides spindalis","adults","Larus delawarensis","species","Ring-billed Gull","adults",84,61
"841","parasitic","Maritrema sp.","genus","Maritrema sp.","adults","Limosa fedoa","species","Marbled Godwit","adults",58,66
"842","parasitic","Renicola buchanani","species","Renicola buchanani","adults","Podilymbus podiceps","species","Pied-billed Grebe","adults",86,93
"843","parasitic","Renicola cerithidicola","species","Renicola cerithidicola","adults","Podilymbus podiceps","species","Pied-billed Grebe","adults",87,93
"844","parasitic","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","adults","Larus californicus","species","California Gull","adults",61,59
"845","parasitic","Maritrema sp.","genus","Maritrema sp.","adults","Bucephala albeola","species","Bufflehead","adults",58,18
"846","parasitic","Stictodora hancocki","species","Stictodora hancocki","adults","Podilymbus podiceps","species","Pied-billed Grebe","adults",92,93
"847","parasitic","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","adults","Numenius americanus","species","Long-billed Curlew","adults",61,77
"848","parasitic","Maritrema sp.","genus","Maritrema sp.","adults","Podilymbus podiceps","species","Pied-billed Grebe","adults",58,93
"849","parasitic","Phocitremoides ovale","species","Phocitremoides ovale","adults","Limnodromus scilopaceus","species","Long-billed Dowitcher","adults",74,64
"850","parasitic","Stictodora hancocki","species","Stictodora hancocki","adults","Larus canus","species","Mew Gull","adults",92,60
"851","parasitic","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","adults","Nycticorax nycticorax","species","Black-crowned Night Heron","adults",61,80
"852","parasitic","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","adults","Egretta alba","species","Great Egret","adults",61,42
"853","parasitic","Stictodora hancocki","species","Stictodora hancocki","adults","Larus delawarensis","species","Ring-billed Gull","adults",92,61
"854","parasitic","Pygidiopsoides spindalis","species","Pygidiopsoides spindalis","adults","Larus californicus","species","California Gull","adults",84,59
"855","parasitic","Pygidiopsoides spindalis","species","Pygidiopsoides spindalis","adults","Numenius americanus","species","Long-billed Curlew","adults",84,77
"856","parasitic","Pygidiopsoides spindalis","species","Pygidiopsoides spindalis","metacercaria","Atherinops affinis","species","Topsmelt","adults",84,16
"857","parasitic","Euhaplorchis californiensis","species","Euhaplorchis californiensis","adults","Limnodromus scilopaceus","species","Long-billed Dowitcher","adults",38,64
"858","parasitic","Phocitremoides ovale","species","Phocitremoides ovale","adults","Ceryle alcyon","species","Belted Kingfisher","adults",74,30
"859","parasitic","Pygidiopsoides spindalis","species","Pygidiopsoides spindalis","adults","Nycticorax nycticorax","species","Black-crowned Night Heron","adults",84,80
"860","parasitic","Pygidiopsoides spindalis","species","Pygidiopsoides spindalis","adults","Egretta alba","species","Great Egret","adults",84,42
"861","parasitic","Stictodora hancocki","species","Stictodora hancocki","adults","Fulica americana","species","American Coot","adults",92,48
"862","parasitic","Maritrema sp.","genus","Maritrema sp.","adults","Fulica americana","species","American Coot","adults",58,48
"863","parasitic","Phocitremoides ovale","species","Phocitremoides ovale","adults","Tringa melanoleuca","species","Greater Yellowlegs","adults",74,116
"864","parasitic","Stictodora hancocki","species","Stictodora hancocki","adults","Larus californicus","species","California Gull","adults",92,59
"865","parasitic","Stictodora hancocki","species","Stictodora hancocki","adults","Numenius americanus","species","Long-billed Curlew","adults",92,77
"866","parasitic","Renicola buchanani","species","Renicola buchanani","adults","Nycticorax nycticorax","species","Black-crowned Night Heron","adults",86,80
"867","parasitic","Renicola cerithidicola","species","Renicola cerithidicola","adults","Nycticorax nycticorax","species","Black-crowned Night Heron","adults",87,80
"868","parasitic","Renicola buchanani","species","Renicola buchanani","adults","Egretta alba","species","Great Egret","adults",86,42
"869","parasitic","Renicola cerithidicola","species","Renicola cerithidicola","adults","Egretta alba","species","Great Egret","adults",87,42
